"Isolate","level 1","level 2","level 3","level 4","level 5","level 6"
"G2610",1,2,8,65,183,204
"G2612",3,10,24,40,190,383
"G2615",4,13,49,140,175,190
"G261",3,8,17,27,33,384
"G2620",1,2,7,21,93,229
"G2622",3,9,22,83,79,69
"G2623",3,10,23,37,60,109
"G2624",1,2,6,13,198,239
"G2626",3,8,17,26,18,13
"G262",4,13,48,97,102,93
"G2630",1,2,7,22,143,174
"G2631",2,5,13,33,23,20
"G2632",2,5,15,106,176,195
"G2636",4,15,56,161,241,287
"G2638",3,9,21,32,85,78
"G2641",2,5,13,33,23,20
"G2645",3,9,22,85,137,225
"G2648",3,10,23,37,61,179
"G2650",3,8,18,90,91,385
"G2653",2,6,39,163,247,342
"G2654",2,5,13,33,23,20
"G2656",1,3,26,41,34,26
"G2657",4,13,47,88,82,70
"G2660",1,2,6,11,122,188
"G2661",2,4,9,18,207,233
"G2668",3,9,22,83,81,386
"G2669",2,6,36,119,231,269
"G266",4,14,51,108,147,284
"G2671",2,5,15,106,176,195
"G2682",1,2,6,13,199,255
"G2684",2,6,36,119,231,269
"G2685",1,2,8,62,65,271
"G2688",3,9,21,31,22,43
"G268",3,8,17,29,265,330
"G2691",4,15,54,137,169,387
"G2695",2,4,10,59,45,85
"G2698",1,2,8,62,65,271
"G26",4,13,48,98,210,235
"G2704",2,5,14,53,291,388
"G2705",3,9,21,31,22,45
"G2706",2,5,12,24,225,379
"G2707",2,5,13,34,40,30
"G2709",3,10,23,37,61,178
"G271",1,2,6,9,62,53
"G2725",4,11,32,93,174,187
"G2726",1,3,26,41,34,26
"G2727",4,13,50,167,292,389
"G2728",1,1,2,6,267,332
"G2730",3,10,23,37,60,108
"G2740",3,10,23,37,61,179
"G2743",4,11,34,149,196,222
"G2749",3,10,23,37,61,179
"G2750",1,3,28,96,166,171
"G2755",2,4,11,144,212,241
"G2761",3,10,23,36,28,143
"G2765",1,3,28,94,101,92
"G2766",4,13,47,88,82,70
"G2767",3,10,25,71,109,313
"G2769",1,2,6,11,120,119
"G2770",4,14,51,108,148,390
"G2772",3,10,24,39,112,200
"G2773",3,10,23,37,61,178
"G2779",2,5,13,33,23,20
"G2780",2,6,39,163,246,300
"G2783",3,10,25,69,50,164
"G2785",4,14,51,111,293,391
"G2786",1,3,28,94,101,92
"G2788",1,2,6,11,120,117
"G2789",2,5,13,34,41,328
"G278m",2,4,11,143,182,367
"G2791",3,9,22,87,262,322
"G2796",2,6,35,49,229,268
"G2798Lib2",2,5,12,25,257,353
"G2801",2,5,12,25,257,353
"G2803",1,3,26,41,34,25
"G2804",3,10,23,37,61,178
"G2805",2,5,12,25,256,319
"G2806",3,9,21,31,21,17
"G2807",3,9,21,31,21,17
"G2808",1,3,29,100,103,97
"G2809",2,5,14,52,270,340
"G280",2,5,16,123,290,381
"G2812",2,4,9,15,71,304
"G2813",1,3,29,100,103,97
"G2817",2,4,9,15,71,303
"G2821",1,3,26,41,35,65
"G2822",2,5,15,103,105,365
"G2827",3,9,21,32,85,78
"G2828",4,11,33,124,149,145
"G2830",3,8,18,91,194,267
"G2831",3,10,23,37,60,110
"G2836",1,1,5,129,294,392
"G2837",1,2,8,62,65,271
"G2843",2,5,15,105,173,393
"G2856",4,11,32,93,174,187
"G2867",3,10,25,70,53,47
"G2874",2,4,9,15,71,304
"G2875",2,7,40,55,192,394
"G287",1,2,6,11,122,189
"G2894",2,5,12,25,260,395
"G290m",3,10,23,37,61,178
"G2911",2,7,43,168,289,380
"G2912",2,4,9,15,71,305
"G2920",2,5,13,33,23,20
"G2921",2,4,9,15,71,305
"G2953",3,10,23,36,26,81
"G2954",3,10,25,71,109,313
"G2959",4,13,49,141,211,237
"G2962",3,10,25,69,50,165
"G2965",2,5,12,23,13,12
"G2970",2,5,12,24,224,252
"G2971",2,5,12,24,224,252
"G2978",2,5,12,24,224,253
"G2979",1,1,2,7,295,396
"G2981",4,14,52,133,285,372
"G2982",2,5,12,23,17,346
"G2986",2,4,9,15,70,61
"G298m",1,1,2,7,295,396
"G3000",1,1,1,4,157,157
"G3003",2,5,12,25,260,395
"G3004",4,12,44,58,268,333
"G302m",3,9,21,32,85,74
"G3053",4,15,55,158,227,258
"G3057",4,13,48,99,279,361
"G3058",1,2,7,20,9,9
"G3060",2,6,37,135,195,221
"G3061",1,2,7,20,10,133
"G3062",2,5,15,106,176,195
"G3064",1,3,28,94,101,92
"G3072",1,3,28,94,101,92
"G3073",2,7,40,54,42,32
"G3074",1,2,6,11,120,117
"G3077",3,10,23,36,28,143
"G307m",2,6,36,119,231,269
"G308m",2,6,36,119,231,269
"G313m",2,4,10,59,46,278
"G314m",2,6,36,118,201,227
"G317m",3,9,21,31,22,44
"G318",3,8,20,160,235,279
"G320m",1,3,26,41,35,64
"G321m",1,3,27,68,296,397
"G322m",3,10,23,37,60,108
"G323m",1,1,1,3,115,112
"G334",2,4,10,59,45,87
"G337",3,10,24,40,190,383
"G338m",1,2,7,20,9,8
"G348m",4,12,44,56,43,33
"G350m",4,13,50,166,280,362
"G351",3,10,23,37,60,108
"G356m",1,1,3,74,284,398
"G357m",2,4,9,15,70,60
"G358m",1,3,26,43,77,210
"G368m",1,2,8,63,68,124
"G377",3,9,21,32,87,265
"G393m",3,8,17,29,265,330
"G395m",3,10,25,69,51,262
"G398m",1,2,6,11,121,184
"G401m",1,2,8,63,67,56
"G402m",3,10,25,69,49,40
"G403m",1,2,8,64,155,288
"G405m",4,11,32,93,174,187
"G406m",3,10,23,36,28,143
"G407m",4,11,33,124,150,399
"G408m",3,10,24,39,112,200
"G409",3,9,21,31,21,16
"G410m",1,2,8,64,153,155
"G419m",3,10,23,37,61,178
"G428m",4,14,51,108,148,390
"G431m",3,10,24,39,110,103
"G435m",3,10,24,39,110,103
"G439m",3,10,25,71,107,148
"G440",3,8,18,91,194,266
"G441m",1,3,28,95,156,156
"G442m",1,3,27,68,296,397
"G444",3,10,24,39,111,136
"G446",1,3,28,94,101,92
"G450m",3,10,25,69,49,42
"G453m",2,5,16,122,252,311
"G454m",3,10,24,40,189,248
"G459m",2,6,36,117,170,181
"G460",2,4,10,59,45,85
"G463m",2,4,10,59,45,85
"G465",3,10,25,72,204,400
"G467m",4,14,52,131,179,369
"G468m",4,14,53,156,220,263
"G469m",3,10,24,40,189,249
"G470m",1,1,3,74,284,398
"G471m",3,9,21,31,22,46
"G474m",3,10,23,37,60,108
"G478m",2,6,36,117,170,182
"G482m",3,8,17,26,19,246
"G486",2,4,10,59,45,85
"G497m",3,10,25,72,204,400
"G498m",1,2,7,20,9,7
"G499m",1,2,7,20,12,218
"G500m",3,10,25,72,204,400
"G501m",2,4,9,16,89,323
"G503m",1,2,6,8,4,3
"G508m",1,3,26,42,75,351
"G512m",3,10,25,72,205,401
"G525m",2,5,12,23,17,346
"G536m",2,6,39,164,275,352
"G538m",3,10,25,69,50,164
"G545m",2,4,10,59,44,34
"G548",2,4,10,60,100,325
"G549m",3,10,23,37,61,178
"G551m",3,8,18,90,91,385
"G552m",1,2,7,20,10,133
"G553m",1,2,8,63,68,125
"G554",1,3,30,152,297,402
"G556m",1,2,7,20,9,9
"G558m",4,14,53,156,221,403
"G559",4,14,52,132,282,363
"G560",1,3,28,96,167,404
"G561m",2,5,12,25,256,319
"G562m",1,2,6,13,198,240
"G563",4,14,53,157,254,316
"G564m",3,8,17,28,160,309
"G565m",3,10,24,39,112,201
"G566m",1,2,8,63,68,125
"G568m",1,3,26,41,34,26
"G570",2,4,10,59,45,85
"G571m",1,2,6,12,185,405
"G572",1,3,30,152,297,402
"G577",3,8,18,91,194,267
"G579",2,6,35,47,38,345
"G580m",3,10,24,39,112,201
"G581m",2,7,41,75,63,54
"G583m",3,8,17,27,32,24
"G584m",4,12,46,155,215,243
"G587",1,2,7,20,9,8
"G589",1,2,8,62,66,374
"G58",3,10,25,69,49,40
"G594m",3,10,25,71,106,100
"G597",1,3,26,41,34,26
"G60",2,5,15,104,130,128
"G621m",2,5,13,33,23,20
"G623m",2,5,16,121,132,129
"G627m",2,4,10,60,97,95
"G630m",2,7,42,148,272,344
"G634m",2,4,10,60,97,94
"G637m",2,5,13,33,23,20
"G63",2,6,39,163,247,342
"G641m",4,13,48,97,102,93
"G642",2,6,36,117,171,193
"G650",3,10,23,36,24,22
"G651m",4,14,53,157,255,406
"G654m",3,9,21,31,21,18
"G661m",3,8,17,26,18,15
"G665",4,14,51,111,293,391
"G669",2,5,12,23,14,106
"G675",3,10,23,37,61,176
"G67m",2,4,10,59,44,36
"G681m",1,2,8,65,183,204
"G682",2,6,36,117,170,181
"G684m",4,14,51,111,293,391
"G693m",2,4,9,17,118,114
"G694m",2,5,12,25,259,371
"G697m",1,2,6,11,120,119
"G69",1,3,26,41,34,26
"G701m",1,3,29,101,226,256
"G733",2,6,39,163,246,300
"G73",1,2,7,22,143,174
"G757m",2,5,12,25,256,318
"G75",4,14,53,157,255,406
"G764m",2,4,9,17,118,114
"G766m",1,2,7,20,12,217
"G768m",2,6,37,136,266,331
"G76",4,11,32,93,174,187
"G770m",3,9,22,87,262,322
"G778m",2,5,16,121,134,407
"G77",2,4,9,14,7,6
"G782m",2,4,10,59,44,35
"G788FE29",3,10,23,36,24,21
"G78",2,6,39,163,246,301
"G79",3,10,24,40,189,250
"G810m",2,7,42,148,272,344
"G817m",1,2,7,20,12,217
"G818m",2,7,42,148,273,408
"G81",4,11,33,124,149,144
"G820",3,10,24,40,189,250
"G824m",2,4,10,60,97,96
"G826m",2,5,14,52,270,340
"G828m",1,1,2,6,267,332
"G830m",1,2,7,20,10,133
"G832m",3,10,23,37,61,176
"G835m",3,10,23,37,60,108
"G837m",1,3,28,94,101,92
"G838m",1,1,1,2,83,73
"G839m",3,10,23,36,24,21
"G83",1,2,7,20,9,10
"G846m",1,2,6,12,184,206
"G848m",3,10,25,69,50,164
"G84",3,10,23,37,60,108
"G850m",3,10,23,36,24,21
"G851m",2,7,42,146,187,373
"G856m",2,5,12,25,256,318
"G85",3,8,17,26,20,315
"G860m",1,2,7,20,9,8
"G861m",3,10,25,69,51,261
"G863m",4,14,53,156,220,263
"G868m",4,11,33,125,263,324
"G871m",3,8,19,112,123,121
"G873m",2,4,10,59,44,35
"G876m",4,13,50,166,281,368
"G878",4,12,45,82,218,320
"G879m",2,5,12,23,15,191
"G880m",1,3,26,41,34,25
"G881m",1,3,28,94,101,92
"G882m",2,5,13,33,23,20
"G883",3,9,21,32,87,265
"G884",1,2,6,11,120,119
"G885",3,9,21,31,22,46
"G886",1,2,6,11,120,119
"G888",1,1,5,129,294,392
"G891",2,7,41,79,288,378
"G89",3,10,25,69,51,262
"G901",2,5,12,25,256,318
"G906",1,2,7,20,9,10
"G909",1,2,6,13,198,239
"G910",1,3,26,42,74,339
"G917",2,5,16,121,134,407
"G919",4,11,31,45,36,27
"G91",3,8,19,114,233,272
"G921",1,2,8,61,47,38
"G922",2,5,14,53,291,388
"G923m",1,2,7,20,9,10
"G924",2,4,11,143,180,202
"G925",1,3,28,96,167,404
"G926",4,11,31,46,140,139
"G932",1,3,28,94,101,92
"G934",3,10,24,39,114,409
"G937",2,4,10,59,45,85
"G940",3,9,21,32,86,80
"G941",1,1,1,3,115,112
"G945",2,5,14,50,39,29
"G947",2,4,10,59,45,85
"G94",3,10,24,39,112,198
"G950",1,2,7,21,94,354
"G951",3,9,21,31,21,19
"G958",3,9,21,31,21,19
"G95m_NOSIP",1,2,7,22,144,296
"G960",4,15,55,158,227,258
"G975",3,10,25,69,49,41
"G976",3,10,24,39,114,409
"G977",3,10,23,37,61,178
"G979",2,6,36,117,171,193
"G980",1,2,7,21,93,230
"G982",1,3,27,67,48,39
"G984",2,5,14,51,238,281
"G987",2,4,10,60,97,96
"G989",3,9,21,31,21,19
"G990",3,10,25,69,50,165
"G991",3,10,25,69,50,165
"G992",3,10,25,69,50,165
"G995",3,8,17,26,18,15
"G99",3,10,23,37,58,50
