DATASET_COLORSTRIP,,
SEPARATOR COMMA,,
DATASET_LABEL, fastlvl1,
G947,#1f78b4,2
G979,#1f78b4,2
G984,#1f78b4,2
G987,#1f78b4,2
G1015,#b2df8a,3
G1017,#b2df8a,3
G101,#b2df8a,3
G103,#b2df8a,3
G1056,#b2df8a,3
G1062m,#b2df8a,3
G1065,#b2df8a,3
G1068,#b2df8a,3
G108,#b2df8a,3
G1107,#b2df8a,3
G1133m,#b2df8a,3
G1141,#b2df8a,3
G1158m,#b2df8a,3
G1180,#b2df8a,3
G1181,#b2df8a,3
G1190,#b2df8a,3
G1202,#b2df8a,3
G1204,#b2df8a,3
G120,#b2df8a,3
G123,#b2df8a,3
G1258,#b2df8a,3
G1268,#b2df8a,3
G1269,#b2df8a,3
G1270,#b2df8a,3
G1274,#b2df8a,3
G128,#b2df8a,3
G1296,#b2df8a,3
G1312,#b2df8a,3
G1314,#b2df8a,3
G1320,#b2df8a,3
G1321,#b2df8a,3
G1322,#b2df8a,3
G1323,#b2df8a,3
G1325,#b2df8a,3
G1327,#b2df8a,3
G1328,#b2df8a,3
G1329,#b2df8a,3
G1344,#b2df8a,3
G1350,#b2df8a,3
G1353m,#b2df8a,3
G1355,#b2df8a,3
G1360,#b2df8a,3
G1366,#b2df8a,3
G1368,#b2df8a,3
G1375,#b2df8a,3
G1376,#b2df8a,3
G1379,#b2df8a,3
G137,#b2df8a,3
G1403,#b2df8a,3
G1407,#b2df8a,3
G1420,#b2df8a,3
G142,#b2df8a,3
G1431,#b2df8a,3
G1437,#b2df8a,3
G1446,#b2df8a,3
G1447,#b2df8a,3
G1452,#b2df8a,3
G1465,#b2df8a,3
G1469,#b2df8a,3
G146m,#b2df8a,3
G1498,#b2df8a,3
G1501FE36,#b2df8a,3
G1509,#b2df8a,3
G150m,#b2df8a,3
G1514,#b2df8a,3
G1519m,#b2df8a,3
G1524,#b2df8a,3
G1536,#b2df8a,3
G1542,#b2df8a,3
G1543,#b2df8a,3
G1564,#b2df8a,3
G1568,#b2df8a,3
G1576,#b2df8a,3
G1581,#b2df8a,3
G1586,#b2df8a,3
G1613,#b2df8a,3
G1618,#b2df8a,3
G1619,#b2df8a,3
G1633,#b2df8a,3
G1636,#b2df8a,3
G1638,#b2df8a,3
G1647,#b2df8a,3
G1648,#b2df8a,3
G1651,#b2df8a,3
G1652,#b2df8a,3
G1653,#b2df8a,3
G1663,#b2df8a,3
G1683,#b2df8a,3
G1685,#b2df8a,3
G1700,#b2df8a,3
G1702,#b2df8a,3
G1708,#b2df8a,3
G1726,#b2df8a,3
G1727,#b2df8a,3
G1740,#b2df8a,3
G1742,#b2df8a,3
G1747,#b2df8a,3
G1750,#b2df8a,3
G1751,#b2df8a,3
G1758,#b2df8a,3
G1759,#b2df8a,3
G1760,#b2df8a,3
G1761,#b2df8a,3
G1762,#b2df8a,3
G1766,#b2df8a,3
G1782,#b2df8a,3
G1785,#b2df8a,3
G1799,#b2df8a,3
G1805,#b2df8a,3
G180m,#b2df8a,3
G1819,#b2df8a,3
G1826,#b2df8a,3
G1831,#b2df8a,3
G1835,#b2df8a,3
G1839,#b2df8a,3
G1851,#b2df8a,3
G1852,#b2df8a,3
G1857m,#b2df8a,3
G1865,#b2df8a,3
G1866m,#b2df8a,3
G186,#b2df8a,3
G1896m,#b2df8a,3
G1900,#b2df8a,3
G1911,#b2df8a,3
G1913,#b2df8a,3
G1914,#b2df8a,3
G1921,#b2df8a,3
G1926,#b2df8a,3
G1936,#b2df8a,3
G1942,#b2df8a,3
G1945,#b2df8a,3
G1954,#b2df8a,3
G1955,#b2df8a,3
G1956,#b2df8a,3
G1957,#b2df8a,3
G1965,#b2df8a,3
G1969,#b2df8a,3
G196,#b2df8a,3
G1971,#b2df8a,3
G1988,#b2df8a,3
G1992,#b2df8a,3
G1996,#b2df8a,3
G1999,#b2df8a,3
G2015,#b2df8a,3
G2022,#b2df8a,3
G202,#b2df8a,3
G2030,#b2df8a,3
G2034,#b2df8a,3
G2051,#b2df8a,3
G2054m,#b2df8a,3
G2055m,#b2df8a,3
G2057,#b2df8a,3
G2063,#b2df8a,3
G2075,#b2df8a,3
G2079,#b2df8a,3
G2080,#b2df8a,3
G2081,#b2df8a,3
G2089,#b2df8a,3
G2090,#b2df8a,3
G209,#b2df8a,3
G2101,#b2df8a,3
G2102,#b2df8a,3
G2104,#b2df8a,3
G2107,#b2df8a,3
G2117,#b2df8a,3
G211,#b2df8a,3
G2121,#b2df8a,3
G2135,#b2df8a,3
G2138,#b2df8a,3
G2151,#b2df8a,3
G2154,#b2df8a,3
G2160,#b2df8a,3
G2162,#b2df8a,3
G2164,#b2df8a,3
G2165,#b2df8a,3
G2167,#b2df8a,3
G2177,#b2df8a,3
G2181,#b2df8a,3
G2184,#b2df8a,3
G2185,#b2df8a,3
G2191,#b2df8a,3
G2192,#b2df8a,3
G2199,#b2df8a,3
G2202,#b2df8a,3
G2203,#b2df8a,3
G2204,#b2df8a,3
G2213,#b2df8a,3
G2232,#b2df8a,3
G2233,#b2df8a,3
G2234,#b2df8a,3
G2235,#b2df8a,3
G2236,#b2df8a,3
G2237,#b2df8a,3
G2241,#b2df8a,3
G2244,#b2df8a,3
G2245,#b2df8a,3
G2248,#b2df8a,3
G2252,#b2df8a,3
G226,#b2df8a,3
G2271,#b2df8a,3
G2290,#b2df8a,3
G2292,#b2df8a,3
G2300m,#b2df8a,3
G2301,#b2df8a,3
G2302,#b2df8a,3
G2308m,#b2df8a,3
G233,#b2df8a,3
G2343Lib2,#b2df8a,3
G2386,#b2df8a,3
G2410,#b2df8a,3
G2413,#b2df8a,3
G2417,#b2df8a,3
G2418,#b2df8a,3
G242,#b2df8a,3
G2458m,#b2df8a,3
G2459m,#b2df8a,3
G245m,#b2df8a,3
G2466,#b2df8a,3
G2470,#b2df8a,3
G2471,#b2df8a,3
G2472,#b2df8a,3
G2476,#b2df8a,3
G2477,#b2df8a,3
G2486,#b2df8a,3
G2496,#b2df8a,3
G250,#b2df8a,3
G2511,#b2df8a,3
G2527,#b2df8a,3
G25,#b2df8a,3
G260,#b2df8a,3
G2612,#b2df8a,3
G2615,#b2df8a,3
G2623,#b2df8a,3
G262,#b2df8a,3
G2636,#b2df8a,3
G2648,#b2df8a,3
G2657,#b2df8a,3
G266,#b2df8a,3
G2691,#b2df8a,3
G26,#b2df8a,3
G2709,#b2df8a,3
G2725,#b2df8a,3
G2727,#b2df8a,3
G2730,#b2df8a,3
G2740,#b2df8a,3
G2743,#b2df8a,3
G2749,#b2df8a,3
G2761,#b2df8a,3
G2766,#b2df8a,3
G2767,#b2df8a,3
G2770,#b2df8a,3
G2772,#b2df8a,3
G2773,#b2df8a,3
G2783,#b2df8a,3
G2785,#b2df8a,3
G2804,#b2df8a,3
G2828,#b2df8a,3
G2831,#b2df8a,3
G2856,#b2df8a,3
G2867,#b2df8a,3
G290m,#b2df8a,3
G2953,#b2df8a,3
G2954,#b2df8a,3
G2959,#b2df8a,3
G2962,#b2df8a,3
G2981,#b2df8a,3
G3004,#b2df8a,3
G3053,#b2df8a,3
G3057,#b2df8a,3
G3077,#b2df8a,3
G322m,#b2df8a,3
G337,#b2df8a,3
G348m,#b2df8a,3
G350m,#b2df8a,3
G351,#b2df8a,3
G395m,#b2df8a,3
G402m,#b2df8a,3
G405m,#b2df8a,3
G406m,#b2df8a,3
G407m,#b2df8a,3
G408m,#b2df8a,3
G419m,#b2df8a,3
G428m,#b2df8a,3
G431m,#b2df8a,3
G435m,#b2df8a,3
G439m,#b2df8a,3
G444,#b2df8a,3
G450m,#b2df8a,3
G454m,#b2df8a,3
G465,#b2df8a,3
G467m,#b2df8a,3
G468m,#b2df8a,3
G469m,#b2df8a,3
G474m,#b2df8a,3
G497m,#b2df8a,3
G500m,#b2df8a,3
G512m,#b2df8a,3
G538m,#b2df8a,3
G549m,#b2df8a,3
G558m,#b2df8a,3
G559,#b2df8a,3
G563,#b2df8a,3
G565m,#b2df8a,3
G580m,#b2df8a,3
G584m,#b2df8a,3
G58,#b2df8a,3
G594m,#b2df8a,3
G641m,#b2df8a,3
G650,#b2df8a,3
G651m,#b2df8a,3
G665,#b2df8a,3
G675,#b2df8a,3
G684m,#b2df8a,3
G75,#b2df8a,3
G76,#b2df8a,3
G788FE29,#b2df8a,3
G79,#b2df8a,3
G81,#b2df8a,3
G820,#b2df8a,3
G832m,#b2df8a,3
G835m,#b2df8a,3
G839m,#b2df8a,3
G848m,#b2df8a,3
G84,#b2df8a,3
G850m,#b2df8a,3
G861m,#b2df8a,3
G863m,#b2df8a,3
G868m,#b2df8a,3
G876m,#b2df8a,3
G878,#b2df8a,3
G89,#b2df8a,3
